Location,Variant,Time,AgeGrp,ASFR
China,Medium,2010,25-29,120.285
China,Medium,2010,30-34,62.417
China,Medium,2010,35-39,21.704
China,Medium,2010,40-44,6.29
China,Medium,2010,45-49,2.706
China,Medium,2010,50-54,0.328
China,Medium,2011,10-14,0.12
China,Medium,2011,15-19,15.488
China,Medium,2011,20-24,104.317
China,Medium,2011,25-29,119.84
China,Medium,2011,30-34,64.123
China,Medium,2011,35-39,22.007
China,Medium,2011,40-44,6.394
China,Medium,2011,45-49,2.358
China,Medium,2011,50-54,0.287
China,Medium,2012,10-14,0.12
China,Medium,2012,15-19,16.256
China,Medium,2012,20-24,110.3
China,Medium,2012,25-29,131.479
China,Medium,2012,30-34,70.788
China,Medium,2012,35-39,24.24
China,Medium,2012,40-44,6.938
China,Medium,2012,45-49,2.623
China,Medium,2012,50-54,0.364
China,Medium,2013,10-14,0.12
China,Medium,2013,15-19,16.013
China,Medium,2013,20-24,102.576
China,Medium,2013,25-29,124.786
China,Medium,2013,30-34,69.0
China,Medium,2013,35-39,24.742
China,Medium,2013,40-44,6.947
China,Medium,2013,45-49,2.291
China,Medium,2013,50-54,0.384
China,Medium,2014,10-14,0.121
China,Medium,2014,15-19,16.39
China,Medium,2014,20-24,102.923
China,Medium,2014,25-29,128.982
China,Medium,2014,30-34,72.34
China,Medium,2014,35-39,27.002
China,Medium,2014,40-44,7.297
China,Medium,2014,45-49,2.429
China,Medium,2014,50-54,0.397
China,Medium,2015,10-14,0.12
China,Medium,2015,15-19,15.327
China,Medium,2015,20-24,92.264
China,Medium,2015,25-29,119.943
China,Medium,2015,30-34,70.636
China,Medium,2015,35-39,28.256
China,Medium,2015,40-44,7.492
China,Medium,2015,45-49,2.259
China,Medium,2015,50-54,0.313
China,Medium,2016,10-14,0.118
China,Medium,2016,15-19,15.282
China,Medium,2016,20-24,92.986
China,Medium,2016,25-29,127.031
China,Medium,2016,30-34,77.853
China,Medium,2016,35-39,32.049
China,Medium,2016,40-44,8.173
China,Medium,2016,45-49,2.618
China,Medium,2016,50-54,0.308
China,Medium,2017,10-14,0.117
China,Medium,2017,15-19,14.901
China,Medium,2017,20-24,91.176
China,Medium,2017,25-29,129.823
China,Medium,2017,30-34,83.299
China,Medium,2017,35-39,34.871
China,Medium,2017,40-44,8.392
China,Medium,2017,45-49,2.394
China,Medium,2017,50-54,0.258
China,Medium,2018,10-14,0.116
China,Medium,2018,15-19,13.325
China,Medium,2018,20-24,74.394
China,Medium,2018,25-29,109.169
China,Medium,2018,30-34,74.725
China,Medium,2018,35-39,32.025
China,Medium,2018,40-44,7.515
China,Medium,2018,45-49,1.441
China,Medium,2018,50-54,0.155
China,Medium,2019,10-14,0.115
China,Medium,2019,15-19,12.939
China,Medium,2019,20-24,69.422
China,Medium,2019,25-29,105.587
China,Medium,2019,30-34,73.028
China,Medium,2019,35-39,30.795
China,Medium,2019,40-44,7.282
China,Medium,2019,45-49,1.223
China,Medium,2019,50-54,0.138
China,Medium,2020,10-14,0.115
China,Medium,2020,15-19,11.73
China,Medium,2020,20-24,57.394
China,Medium,2020,25-29,89.183
China,Medium,2020,30-34,62.895
China,Medium,2020,35-39,27.808
China,Medium,2020,40-44,6.579
China,Medium,2020,45-49,0.948
China,Medium,2020,50-54,0.101
China,Medium,2021,10-14,0.116
China,Medium,2021,15-19,11.048
China,Medium,2021,20-24,50.573
China,Medium,2021,25-29,80.317
China,Medium,2021,30-34,57.452
China,Medium,2021,35-39,26.237
China,Medium,2021,40-44,6.271
China,Medium,2021,45-49,0.898
China,Medium,2021,50-54,0.089
China,Medium,2022,10-14,0.122
China,Medium,2022,15-19,11.146
China,Medium,2022,20-24,48.901
China,Medium,2022,25-29,80.63
China,Medium,2022,30-34,58.638
China,Medium,2022,35-39,27.987
China,Medium,2022,40-44,6.725
China,Medium,2022,45-49,0.872
China,Medium,2022,50-54,0.12
China,Medium,2023,10-14,0.123
China,Medium,2023,15-19,11.23
China,Medium,2023,20-24,47.516
China,Medium,2023,25-29,81.093
China,Medium,2023,30-34,60.104
China,Medium,2023,35-39,29.608
China,Medium,2023,40-44,7.046
China,Medium,2023,45-49,0.854
China,Medium,2023,50-54,0.112
China,Medium,2024,10-14,0.123
China,Medium,2024,15-19,11.273
China,Medium,2024,20-24,46.263
China,Medium,2024,25-29,81.572
China,Medium,2024,30-34,61.856
China,Medium,2024,35-39,30.969
China,Medium,2024,40-44,7.294
China,Medium,2024,45-49,0.849
China,Medium,2024,50-54,0.104
China,Medium,2025,10-14,0.122
China,Medium,2025,15-19,11.237
China,Medium,2025,20-24,44.642
China,Medium,2025,25-29,81.506
China,Medium,2025,30-34,63.765
China,Medium,2025,35-39,32.224
China,Medium,2025,40-44,7.607
China,Medium,2025,45-49,0.844
China,Medium,2025,50-54,0.095
China,Medium,2026,10-14,0.121
China,Medium,2026,15-19,11.212
China,Medium,2026,20-24,43.09
China,Medium,2026,25-29,81.508
China,Medium,2026,30-34,65.838
China,Medium,2026,35-39,33.321
China,Medium,2026,40-44,8.032
China,Medium,2026,45-49,0.839
China,Medium,2026,50-54,0.087
China,Medium,2027,10-14,0.117
China,Medium,2027,15-19,11.075
China,Medium,2027,20-24,41.796
China,Medium,2027,25-29,81.655
China,Medium,2027,30-34,67.718
China,Medium,2027,35-39,34.296
China,Medium,2027,40-44,8.567
China,Medium,2027,45-49,0.833
China,Medium,2027,50-54,0.078
China,Medium,2028,10-14,0.113
China,Medium,2028,15-19,10.832
China,Medium,2028,20-24,40.587
China,Medium,2028,25-29,81.703
China,Medium,2028,30-34,69.506
China,Medium,2028,35-39,35.321
China,Medium,2028,40-44,8.936
China,Medium,2028,45-49,0.811
China,Medium,2028,50-54,0.071
China,Medium,2029,10-14,0.11
China,Medium,2029,15-19,10.596
China,Medium,2029,20-24,39.55
China,Medium,2029,25-29,81.822
China,Medium,2029,30-34,71.434
China,Medium,2029,35-39,36.561
China,Medium,2029,40-44,9.136
China,Medium,2029,45-49,0.785
China,Medium,2029,50-54,0.066
China,Medium,2030,10-14,0.108
China,Medium,2030,15-19,10.363
China,Medium,2030,20-24,38.552
China,Medium,2030,25-29,81.618
China,Medium,2030,30-34,73.28
China,Medium,2030,35-39,38.156
China,Medium,2030,40-44,9.359
China,Medium,2030,45-49,0.771
China,Medium,2030,50-54,0.06
China,Medium,2031,10-14,0.107
China,Medium,2031,15-19,10.104
China,Medium,2031,20-24,37.786
China,Medium,2031,25-29,81.486
China,Medium,2031,30-34,75.244
China,Medium,2031,35-39,39.882
China,Medium,2031,40-44,9.441
